Daily_cases;Date;Open;High;Low;Close;Adj Close;Volume;Index;Name;Country_Name;Country_Code;WHO_region
49;15.06.2020;23991.38;24242.97;23684.96;23776.95;23776.95;2104538300;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
7;12.06.2020;11406.54;11442.3;11244.64;11429.94;11429.94;3367500;TWII;TSEC weighted index;Taiwan;CN;WPRO
7;12.06.2020;11017.15;11306.14;11003.32;11251.71;11251.71;1552800;399001.SZ;Shenzhen Component;China;CN;WPRO
7;12.06.2020;2876.8;2930.25;2872.62;2919.74;2919.74;236000;000001.SS;SSE Composite Index;China;CN;WPRO
7;12.06.2020;23920.7;24317.72;23895.03;24301.38;24301.38;1824519600;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
11;11.06.2020;11738.49;11771.12;11516.59;11535.77;11535.77;4457500;TWII;TSEC weighted index;Taiwan;CN;WPRO
11;11.06.2020;11328.1;11405.01;11180.75;11243.62;11243.62;1582200;399001.SZ;Shenzhen Component;China;CN;WPRO
11;11.06.2020;2939.79;2952.65;2912.19;2920.9;2920.9;233700;000001.SS;SSE Composite Index;China;CN;WPRO
11;11.06.2020;24997.84;25059.32;24480.15;24480.15;24480.15;1838958200;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
3;10.06.2020;11635.99;11740.9;11621.02;11720.16;11720.16;3477600;TWII;TSEC weighted index;Taiwan;CN;WPRO
3;10.06.2020;11296.13;11338.24;11249.43;11335.86;11335.86;1381900;399001.SZ;Shenzhen Component;China;CN;WPRO
3;10.06.2020;2951.28;2951.33;2934.84;2943.75;2943.75;207900;000001.SS;SSE Composite Index;China;CN;WPRO
3;10.06.2020;25179.03;25303.78;24968.3;25049.73;25049.73;1971349200;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
4;09.06.2020;11600.61;11640.45;11537.38;11637.11;11637.11;3023600;TWII;TSEC weighted index;Taiwan;CN;WPRO
4;09.06.2020;11238.44;11303.54;11195;11284.24;11284.24;1426600;399001.SZ;Shenzhen Component;China;CN;WPRO
4;09.06.2020;2939.53;2957.12;2932.94;2956.11;2956.11;209000;000001.SS;SSE Composite Index;China;CN;WPRO
4;09.06.2020;24906.01;25253.67;24837.73;25057.22;25057.22;2203396500;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
5;08.06.2020;11539;11631.89;11528.44;11610.32;11610.32;3822500;TWII;TSEC weighted index;Taiwan;CN;WPRO
5;08.06.2020;11266.93;11340.03;11195.85;11215.76;11215.76;1603200;399001.SZ;Shenzhen Component;China;CN;WPRO
5;08.06.2020;2941.98;2950.07;2934.21;2937.77;2937.77;231100;000001.SS;SSE Composite Index;China;CN;WPRO
5;08.06.2020;25018.05;25018.78;24678.55;24776.77;24776.77;2123439500;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
11;05.06.2020;11418.01;11482.36;11411.94;11479.4;11479.4;3400800;TWII;TSEC weighted index;Taiwan;CN;WPRO
11;05.06.2020;11153.27;11180.6;11087.25;11180.6;11180.6;1361300;399001.SZ;Shenzhen Component;China;CN;WPRO
11;05.06.2020;2923.19;2930.8;2909.12;2930.8;2930.8;217400;000001.SS;SSE Composite Index;China;CN;WPRO
11;05.06.2020;24388.18;24810.22;24253.56;24770.41;24770.41;2397618300;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
1;04.06.2020;11373.94;11425.42;11341.58;11393.23;11393.23;3539700;TWII;TSEC weighted index;Taiwan;CN;WPRO
1;04.06.2020;11146.29;11165.14;11080.51;11139.26;11139.26;1479200;399001.SZ;Shenzhen Component;China;CN;WPRO
1;04.06.2020;2931.84;2932.97;2910.75;2919.25;2919.25;226600;000001.SS;SSE Composite Index;China;CN;WPRO
1;04.06.2020;24643.84;24643.84;24204.1;24366.3;24366.3;1888873500;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
5;03.06.2020;11182.52;11330.52;11182.52;11320.16;11320.16;3776100;TWII;TSEC weighted index;Taiwan;CN;WPRO
5;03.06.2020;11154.64;11204.52;11100.69;11108.36;11108.36;1847200;399001.SZ;Shenzhen Component;China;CN;WPRO
5;03.06.2020;2930.39;2942.76;2922.66;2923.37;2923.37;255700;000001.SS;SSE Composite Index;China;CN;WPRO
5;03.06.2020;24303.56;24364.01;24219.96;24325.62;24325.62;2455118300;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
9;02.06.2020;11109.27;11170.49;11102.97;11127.93;11127.93;2754300;TWII;TSEC weighted index;Taiwan;CN;WPRO
9;02.06.2020;11133.62;11146.85;11059.19;11112.5;11112.5;1908300;399001.SZ;Shenzhen Component;China;CN;WPRO
9;02.06.2020;2916.32;2926.36;2909.13;2921.4;2921.4;256100;000001.SS;SSE Composite Index;China;CN;WPRO
9;02.06.2020;23792.24;23995.94;23766.15;23995.94;23995.94;1813293900;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
18;01.06.2020;10971.4;11109.29;10971.4;11079.02;11079.02;2655700;TWII;TSEC weighted index;Taiwan;CN;WPRO
18;01.06.2020;10837.49;11123.19;10837.49;11102.15;11102.15;1744300;399001.SZ;Shenzhen Component;China;CN;WPRO
18;01.06.2020;2871.96;2917.15;2871.96;2915.43;2915.43;260200;000001.SS;SSE Composite Index;China;CN;WPRO
18;01.06.2020;23539.91;23806.32;23539.91;23732.52;23732.52;2569148800;HSI;HANG SENG INDEX;Hong Kong;CN;WPRO
0;29.05.2020;10921.16;10965.03;10861.9;10942.16;10942.16;3589800;TWII;TSEC weighted index;Taiwan;CN;WPRO
0;29.05.2020;10615.14;10764.87;10588.74;10746.08;10746.08;1210300;399001.SZ;Shenzhen Component;China;CN;WPRO
0;29.05.2020;2835.58;2855.38;2829.63;2852.35;2852.35;206800;000001.SS;SSE Composite Index;China;CN;WPRO
