Date,Open,High,Low,Close,Adj Close,Volume,Index
2020-04-27,11106.03,11301.31,11086.96,11264.84,11264.84,5194260000.0,NYA
2020-04-24,11000.7,11050.01,10868.93,11017.9,11017.9,5374480000.0,NYA
2020-04-23,10961.24,11099.0,10905.84,10916.68,10916.68,5756520000.0,NYA
2020-04-22,10919.97,10955.5,10844.76,10908.56,10908.56,5049660000.0,NYA
2020-04-21,10763.67,10861.79,10667.29,10706.44,10706.44,5075830000.0,NYA
2020-04-20,11016.88,11181.81,10985.06,11003.88,11003.88,5220160000.0,NYA
2020-04-17,11101.32,11231.27,11030.42,11208.29,11208.29,5792140000.0,NYA
2020-04-16,10882.83,10891.68,10718.13,10818.03,10818.03,5179990000.0,NYA
2020-04-15,10861.97,10903.06,10760.96,10843.92,10843.92,5203390000.0,NYA
2020-04-14,11151.16,11241.23,11064.63,11172.2,11172.2,5567400000.0,NYA
2020-04-13,11136.61,11136.61,10817.15,10949.53,10949.53,5274310000.0,NYA
2020-04-09,11070.32,11272.48,11019.82,11136.61,11136.61,7880140000.0,NYA
2020-04-08,10641.51,10939.97,10538.65,10902.59,10902.59,5856370000.0,NYA
2020-04-07,10894.2,10912.56,10534.74,10537.04,10537.04,7040720000.0,NYA
2020-04-06,10264.13,10560.73,10233.04,10515.24,10515.24,6391860000.0,NYA
2020-04-03,10012.47,10075.91,9774.24,9880.63,9880.63,6087190000.0,NYA
2020-04-02,9815.27,10142.01,9813.51,10062.37,10062.37,6454990000.0,NYA
2020-04-01,9917.31,10029.0,9766.8,9844.85,9844.85,5947900000.0,NYA
2020-03-31,10387.73,10499.8,10237.22,10301.87,10301.87,6568290000.0,NYA
2020-03-30,10238.13,10455.77,10131.6,10434.74,10434.74,5746220000.0,NYA
2020-03-27,10135.73,10449.22,10064.5,10187.21,10187.21,6194330000.0,NYA
2020-03-26,10060.48,10556.9,10060.48,10536.28,10536.28,7753160000.0,NYA
2020-03-25,9749.8,10303.9,9591.74,9961.38,9961.38,8285670000.0,NYA
