Date,Open,High,Low,Close*,Adj Close**,Volume,Index
"Aug 23, 2020",-,-,-,-,-,-,^TA125.TA
"Aug 20, 2020","1,426.59","1,427.37","1,413.79","1,417.75","1,417.75","63,024,200",^TA125.TA
"Aug 19, 2020","1,447.18","1,452.46","1,436.71","1,438.76","1,438.76","53,684,400",^TA125.TA
"Aug 18, 2020","1,459.16","1,465.41","1,449.28","1,450.27","1,450.27","54,910,600",^TA125.TA
"Aug 17, 2020","1,461.36","1,463.16","1,454.31","1,457.41","1,457.41","50,103,200",^TA125.TA
"Aug 16, 2020",-,-,-,-,-,-,^TA125.TA
"Aug 13, 2020","1,443.36","1,445.97","1,436.12","1,438.81","1,438.81","61,374,700",^TA125.TA
"Aug 12, 2020","1,429.52","1,445.28","1,427.69","1,442.88","1,442.88","62,102,600",^TA125.TA
"Aug 11, 2020","1,418.39","1,438.90","1,418.06","1,431.03","1,431.03","85,429,900",^TA125.TA
"Aug 10, 2020","1,418.97","1,420.01","1,412.40","1,414.63","1,414.63","76,553,800",^TA125.TA
"Aug 09, 2020",-,-,-,-,-,-,^TA125.TA
"Aug 06, 2020","1,422.19","1,423.33","1,411.15","1,413.88","1,413.88","386,433,400",^TA125.TA
"Aug 05, 2020","1,404.13","1,423.51","1,404.08","1,417.28","1,417.28","93,779,000",^TA125.TA
"Aug 04, 2020","1,398.91","1,399.39","1,387.05","1,395.92","1,395.92","89,734,000",^TA125.TA
"Aug 03, 2020","1,385.20","1,391.02","1,382.89","1,388.45","1,388.45","66,615,800",^TA125.TA
"Aug 02, 2020",-,-,-,-,-,-,^TA125.TA
"Jul 29, 2020","1,378.96","1,385.86","1,375.12","1,383.64","1,383.64","113,218,700",^TA125.TA
"Jul 28, 2020","1,381.49","1,388.76","1,378.43","1,379.67","1,379.67","64,636,800",^TA125.TA
"Jul 27, 2020","1,378.57","1,382.15","1,366.30","1,376.11","1,376.11","95,338,400",^TA125.TA
"Jul 26, 2020",-,-,-,-,-,-,^TA125.TA
"Jul 23, 2020","1,410.08","1,411.19","1,387.79","1,391.96","1,391.96","104,064,400",^TA125.TA
"Jul 22, 2020","1,403.50","1,404.97","1,394.20","1,398.89","1,398.89","102,314,700",^TA125.TA
"Jul 21, 2020","1,402.63","1,419.36","1,402.63","1,409.38","1,409.38","175,211,800",^TA125.TA
"Jul 20, 2020","1,372.84","1,387.73","1,369.98","1,385.95","1,385.95","118,821,800",^TA125.TA
"Jul 19, 2020",-,-,-,-,-,-,^TA125.TA
"Jul 16, 2020","1,382.83","1,383.61","1,374.19","1,374.84","1,374.84","82,314,000",^TA125.TA
"Jul 15, 2020","1,366.51","1,388.21","1,366.51","1,383.45","1,383.45","116,827,700",^TA125.TA
"Jul 14, 2020","1,355.37","1,356.30","1,339.16","1,346.51","1,346.51","94,590,700",^TA125.TA
"Jul 13, 2020","1,358.78","1,369.65","1,358.61","1,366.47","1,366.47","160,401,100",^TA125.TA
"Jul 12, 2020",-,-,-,-,-,-,^TA125.TA
"Jul 09, 2020","1,344.19","1,347.59","1,333.36","1,340.94","1,340.94","140,799,900",^TA125.TA
"Jul 08, 2020","1,348.19","1,351.46","1,337.68","1,343.83","1,343.83","81,824,200",^TA125.TA
"Jul 07, 2020","1,372.22","1,372.22","1,347.91","1,365.17","1,365.17","73,544,600",^TA125.TA
"Jul 06, 2020","1,353.75","1,373.95","1,335.75","1,371.01","1,371.01","94,730,000",^TA125.TA
"Jul 05, 2020",-,-,-,-,-,-,^TA125.TA
"Jul 02, 2020","1,362.70","1,384.15","1,360.48","1,383.51","1,383.51","161,242,100",^TA125.TA
"Jul 01, 2020","1,332.47","1,361.91","1,332.43","1,360.18","1,360.18","92,961,200",^TA125.TA
"Jun 30, 2020","1,312.90","1,325.34","1,311.54","1,324.13","1,324.13","93,613,600",^TA125.TA
"Jun 29, 2020","1,300.06","1,312.02","1,296.07","1,311.54","1,311.54","68,613,500",^TA125.TA
"Jun 28, 2020",-,-,-,-,-,-,^TA125.TA
"Jun 25, 2020","1,338.37","1,348.82","1,326.59","1,339.95","1,339.95","115,522,100",^TA125.TA
"Jun 24, 2020","1,375.38","1,375.60","1,345.69","1,348.69","1,348.69","185,939,600",^TA125.TA
"Jun 23, 2020","1,386.37","1,394.95","1,375.33","1,377.98","1,377.98","101,083,400",^TA125.TA
"Jun 22, 2020","1,385.94","1,391.80","1,369.00","1,381.31","1,381.31","122,446,900",^TA125.TA
"Jun 21, 2020",-,-,-,-,-,-,^TA125.TA
"Jun 18, 2020","1,410.92","1,415.76","1,402.97","1,407.71","1,407.71","105,938,700",^TA125.TA
"Jun 17, 2020","1,422.21","1,423.90","1,414.66","1,415.69","1,415.69","88,439,200",^TA125.TA
"Jun 16, 2020","1,410.52","1,429.87","1,410.52","1,424.56","1,424.56","91,141,000",^TA125.TA
"Jun 15, 2020","1,370.98","1,395.05","1,363.26","1,393.42","1,393.42","93,654,500",^TA125.TA
"Jun 14, 2020",-,-,-,-,-,-,^TA125.TA
"Jun 11, 2020","1,428.23","1,428.23","1,406.06","1,408.46","1,408.46","88,819,200",^TA125.TA
"Jun 10, 2020","1,445.41","1,452.06","1,439.12","1,441.70","1,441.70","75,652,000",^TA125.TA
"Jun 09, 2020","1,442.60","1,444.13","1,424.91","1,435.16","1,435.16","90,122,300",^TA125.TA
"Jun 08, 2020","1,428.72","1,442.14","1,426.15","1,439.71","1,439.71","102,105,900",^TA125.TA
"Jun 04, 2020","1,400.69","1,413.21","1,400.69","1,412.90","1,412.90","126,487,200",^TA125.TA
